date,product_id,stock,product_name
2024-05-05,1,41,Product_1
2024-05-05,2,121,Product_2
2024-05-05,3,177,Product_3
2024-05-05,4,45,Product_4
2024-05-05,5,166,Product_5
2024-05-05,6,66,Product_6
2024-05-05,7,174,Product_7
2024-05-05,8,18,Product_8
2024-05-05,9,38,Product_9
2024-05-05,10,36,Product_10
2024-05-05,11,137,Product_11
2024-05-05,12,101,Product_12
2024-05-05,13,45,Product_13
2024-05-05,14,85,Product_14
2024-05-05,15,125,Product_15
2024-05-05,16,40,Product_16
2024-05-05,17,174,Product_17
2024-05-05,18,87,Product_18
2024-05-05,19,92,Product_19
2024-05-05,20,29,Product_20
